"rank","name","industry","revenue","three_years_growth_percent","workers","founded","yrs_on_list","state","metro","city","url"
"1","Freestar","Advertising & Marketing",36.9,36.68,40,2015,"1","AZ","Phoenix","Phoenix","http://freestar.com"
"2","FreightWise","Logistics & Transportation",33.6,30.548,39,2015,"1","TN","Nashville","Brentwood","http://freightwisellc.com"
"3","Cece's Veggie Co.","Food & Beverage",24.9,23.88,190,2015,"1","TX","Austin","Austin","http://cecesveggieco.com"
"4","LadyBoss","Consumer Products & Services",32.4,21.85,57,2014,"1","NM",NA,"Albuquerque","http://ladyboss.com"
"5","Perpay","Retail",22.5,18.166,25,2014,"1","PA","Philadelphia","Philadelphia","http://perpay.com"
"6","Cano Health","Health",271.8,14.183,742,2009,"1","FL","Miami","Miami","http://canohealth.com"
"7","Bear Mattress","Consumer Products & Services",20.5,13.481,12,2014,"1","NJ","New York City","Hoboken","http://bearmattress.com"
"8","Connected Solutions Group","Telecommunications",23.3,12.701,72,2015,"1","VA","Richmond","Mechanicsville","http://csgstore.net"
"9","Providence Healthcare Management","Health",225.9,12.565,60,2008,"1","OH","Cleveland","Cleveland","http://providencehcm.com"
"10","NOM","Advertising & Marketing",21.4,11.996,37,2014,"1","CA","Los Angeles","Los Angeles","http://thisisnom.co"
"11","NuLeaf Naturals","Consumer Products & Services",13.9,11.949,40,2014,"1","CO","Denver","Denver","nuleafnaturals.com"
"12","Urgently","Logistics & Transportation",30.3,11.633,226,2013,"1","VA","Washington","Vienna","geturgently.com"
"13","nutpods","Food & Beverage",19.1,11.623,23,2013,"1","WA","Seattle","Bellevue","http://nutpods.com"
"14","YieldStreet","Financial Services",19.1,10.562,66,2015,"1","NY","New York City","New York","http://yieldstreet.com"
"15","MuteSix","Advertising & Marketing",17.3,10.176,109,2014,"3","CA","Los Angeles","Los Angeles","http://mutesix.com"
"16","Anchor Worldwide","Advertising & Marketing",10.7,9.753,110,2015,"1","NY","New York City","New York","anchorww.com"
"17","LendingPoint","Financial Services",105.8,9.265,190,2014,"1","GA","Atlanta","Kennesaw","lendingpoint.com"
"18","With Clarity","Consumer Products & Services",19,9.179,14,2013,"1","NY","New York City","New York","http://withclarity.com"
"19","Sonendo","Health",24.4,8.657,191,2006,"1","CA","Los Angeles","Laguna Hills","sonendo.com"
"20","Kindred Bravely","Consumer Products & Services",9.6,8.544,35,2015,"1","CA","San Diego","Oceanside","http://kindredbravely.com"
"21","Tailor Made Compounding","Health",10.2,8.327,45,2015,"1","KY",NA,"Nicholasville","http://tailormadecompounding.com"
"22","SD3IT","Computer Hardware",11.9,8.283,12,2014,"1","FL",NA,"The Villages","http://sd3it.com"
"23","ConvertKit","Software",13.8,7.966,37,2013,"2","ID","Boise City-Nampa","Boise","convertkit.com"
"24","Printify","Software",10.5,7.926,70,2015,"1","CA","San Francisco","San Francisco","http://printify.com"
"25","Awardco","Software",8.9,7.478,42,2015,"1","UT","Provo-Orem","Orem","http://award.co"
"26","Pegasus Optimization Managers","Energy",128.2,7.427,191,2015,"1","TX",NA,"College Station","pegasus15.com"
"27","FITT Scientific","Government Services",15.8,7.329,191,2013,"1","VA","Richmond","Colonial Heights","fittscientific.com"
"28","Amherst Madison","Real Estate",7.8,7.301,8,2014,"2","ID","Boise City-Nampa","Boise","amherstmadisonlegacy.com"
"29","LumenAd","Software",11.8,7.045,60,2014,"1","MT",NA,"Missoula","lumenad.com"
"30","Bendcare","Health",156,6.9,37,2015,"1","FL","Miami","Boca Raton","bendcare.com"
"31","The Welfont Companies","Real Estate",20.4,6.871,51,2014,"2","FL","Tampa","Tampa","welfont.com"
"32","Skinny Dipped","Consumer Products & Services",10.2,6.642,21,2013,"1","WA","Seattle","Seattle","http://skinnydipped.com"
"33","RDI Technologies","Manufacturing",7.2,6.493,21,2013,"1","TN",NA,"Knoxville","rditechnologies.com"
"34","Limited Run Games","Media",20.8,6.388,21,2010,"1","NC","Raleigh","Apex","limitedrungames.com"
"35","SwanLeap","Logistics & Transportation",162.6,6.383,38,2013,"3","WI","Madison","Madison","swanleap.com"
"36","Vesta Modular","Construction",48.9,6.337,52,2014,"1","MI","Detroit","Southfield","http://vestamodular.com"
"37","H&C Animal Health","Consumer Products & Services",24,6.287,11,2013,"1","CO","Denver","Parker","hc-animal-health.com"
"38","Homesnap","Real Estate",17.5,6.177,85,2012,"2","MD","Washington","Bethesda","homesnap.com"
"39","Paradigm Construction","Construction",45.2,6.145,27,2013,"2","TX","Houston","The Woodlands","paradigmconstruction-tx.com"
"40","Allata","IT System Development",15.2,6.134,71,2014,"1","TX","Dallas","Dallas","allata.com"
"41","Fanchest","Retail",8.3,6.056,13,2014,"1","NY","New York City","New York","http://fanchest.com"
"42","Fund That Flip","Real Estate",6.4,6.018,41,2014,"1","NY","New York City","New York","http://fundthatflip.com"
"43","Villaway","Travel & Hospitality",7,5.936,15,2014,"2","CA","Los Angeles","Los Angeles","http://villaway.com"
"44","IQM","Advertising & Marketing",8.8,5.852,40,2014,"1","NY","New York City","New York","http://iqm.com"
"45","Home Quality Remodeling","Construction",6.2,5.835,10,2004,"1","CA","San Francisco","Concord","homequalityremodeling.com"
"46","Beeswax","Software",16.9,5.768,56,2014,"1","NY","New York City","New York","http://beeswax.com"
"47","Netizen","Security",6.3,5.638,46,2013,"1","PA","Allentown-Bethlehem-Easton","Allentown","http://netizencorp.com"
"48","phData","IT Management",9.8,5.638,86,2014,"1","MN","Minneapolis","Minneapolis","phdata.io"
"49","MDstaffers","Health",7.1,5.634,22,2010,"1","CA",NA,"Rancho Cordova","http://mdstaffers.com"
"50","TalEx","Human Resources",48.5,5.484,500,2012,"3","MD","Washington","Clarksburg","teamtalex.com"
"51","Nationwide Mortgage Bankers","Financial Services",25,5.45,400,2011,"1","NY","New York City","Melville","nmbhome.com"
"52","Podium","Software",42.5,5.417,430,2014,"2","UT","Provo-Orem","Lehi","podium.com"
"53","SIA Solutions","Environmental Services",23.9,5.06,60,2012,"3","TX","Houston","Houston","http://siasolutions.com"
"54","QEO Group","Insurance",58.8,4.978,87,2014,"2","TX","Dallas","Irving","qeo.com"
"55","Dropified","Business Products & Services",5.1,4.971,30,2015,"1","AL","Birmingham","Birmingham","dropified.com"
"56","Sparx Hockey","Consumer Products & Services",8,4.916,25,2014,"1","MA","Boston","Acton","sparxhockey.com"
"57","TrueChoicePack","Consumer Products & Services",7.8,4.908,7,2013,"1","OH","Cincinnati","Mason","http://truechoicepack.com"
"58","Ooze Wholesale","Consumer Products & Services",25.9,4.899,30,2015,"1","MI","Detroit","Oak Park","http://oozewholesale.com"
"59","Progyny","Health",107.6,4.838,116,2008,"2","NY","New York City","New York","http://progyny.com"
"60","Pax8","Software",42.4,4.82,254,2012,"2","CO","Denver","Greenwood Village","pax8.com"
"61","Terminus","Software",21.5,4.73,162,2014,"1","GA","Atlanta","Atlanta","http://terminus.com"
"62","Chomps","Food & Beverage",21,4.469,8,2012,"2","FL",NA,"Naples","chomps.com"
"63","Rad Power Bikes","Manufacturing",44.6,4.442,100,2007,"1","WA","Seattle","Seattle","radpowerbikes.com"
"64","TradePending","Software",5.8,4.43,28,2014,"1","NC",NA,"Chapel Hill","tradepending.com"
"65","West Creek Financial","Financial Services",89.7,4.405,158,2014,"1","VA","Richmond","Glen Allen","http://westcreekfin.com"
"66","CityLift Parking","Construction",10.7,4.402,40,2015,"1","CA","San Francisco","Oakland","cityliftparking.com"
"67","Associated Veterans","Government Services",12.8,4.346,64,2007,"2","VA","Washington","Arlington","associatedveterans.com"
"68","Fetch Rewards","Software",9,4.323,63,2013,"1","WI","Madison","Madison","fetchrewards.com"
"69","10X Genomics","Health",146.3,4.309,380,2012,"1","CA","San Francisco","Pleasanton","10xgenomics.com"
"70","4th & Heart","Food & Beverage",14.3,4.283,7,2014,"1","CA","Los Angeles","Venice Beach","http://fourthandheart.com"
"71","GreenPrint","Energy",6.2,4.281,13,2014,"1","GA","Atlanta","Atlanta","http://greenprintcorp.com"
"72","Sky Marketing Corporation","Consumer Products & Services",4.7,4.28,30,2015,"1","TX","Austin","Austin","smcdistribution.com"
"73","Pendo","Software",20.9,4.267,258,2013,"1","NC","Raleigh","Raleigh","pendo.io"
"74","Core Software Technologies","Software",4.6,4.247,39,2011,"3","NJ","New York City","Plainsboro","coresofttech.com"
"75","EcoSystems","Environmental Services",6.7,4.234,36,2012,"1","FL","Miami","Miami","ecosystems.com"
"76","Brickell Men's Products","Health",10,4.208,35,2014,"1","ME",NA,"Portland","brickellmensproducts.com"
"77","Patton Warehousing","Logistics & Transportation",8.2,4.138,78,2015,"1","PA",NA,"Milton","pattonwarehousing.com"
"78","SydanTech","Government Services",4.3,4.091,14,2000,"1","MD","Washington","Bethesda","sydantech.com"
"79","WT Stevens Construction","Construction",7.2,4.09,40,2002,"1","MI",NA,"Flint","http://wtstevens.com"
"80","Wandrd","Consumer Products & Services",4.7,4.088,12,2015,"1","UT","Provo-Orem","Orem","http://wandrd.com"
"81","Confidio","Health",16.3,4.035,38,2014,"1","MD","Baltimore","Towson","confidio.com"
"82","Dynamic Logistix","Logistics & Transportation",54.4,3.84,50,2015,"1","KS","Kansas City","Overland Park","dynamiclogistix.com"
"83","Asset Panda","Software",5.1,3.779,50,2012,"2","TX","Dallas","Frisco","http://assetpanda.com"
"83","SeaBay Building Group","Construction",25.8,3.775,25,2013,"1","CA","San Francisco","Hayward","seabay-group.com"
"84","Blue Fire Leads","Advertising & Marketing",9,3.728,13,2014,"2","UT","Provo-Orem","Provo","http://bluefireleads.com/home"
"85","Loanatik","Financial Services",9,3.692,19,2015,"1","AZ","Phoenix","Phoenix","loanatik.com"
"86","SupportNinja","Business Products & Services",4.5,3.684,463,2015,"1","TX","Austin","Austin","http://supportninja.com"
"87","Grove Collaborative","Consumer Products & Services",104.1,3.665,1200,2012,"2","CA","San Francisco","San Francisco","http://grove.co"
"88","Cisoshare","Security",3.9,3.623,25,2015,"1","CA","Los Angeles","San Juan Capistrano","http://cisoshare.com"
"89","DigitalOnUS","IT System Development",10.4,3.535,178,2015,"2","CA","San Jose","San Jose","digitalonus.com"
"90","GForce Life Sciences","Human Resources",14.4,3.532,49,2013,"2","IL","Chicago","Chicago","gforcelifesciences.com"
"91","Capitol Bridge","Government Services",6.4,3.469,35,2012,"2","VA","Washington","Arlington","capitolbridgellc.com"
"92","Kentucky Counseling Center","Health",4.9,3.418,19,2014,"1","KY","Louisville/Jefferson County","Louisville","kentuckycounselingcenter.com"
"93","Shefit","Retail",6.6,3.4,25,2013,"2","MI",NA,"Hudsonville","shefit.com"
"94","US Mobile","Telecommunications",7.3,3.388,65,2014,"1","NY","New York City","White Plains","usmobile.com"
"95","Feedonomics","Advertising & Marketing",7.4,3.371,85,2014,"1","CA","Los Angeles","Woodland Hills","feedonomics.com"
"96","Amenity Health","Health",15.3,3.358,16,2011,"1","CA","San Diego","San Diego","amenityhealth.com"
"97","Payability","Financial Services",13.7,3.35,54,2014,"1","NY","New York City","New York","http://payability.com"
"98","Eagle Transport and Logistics","Logistics & Transportation",4.8,3.34,35,2014,"1","OH","Columbus","Columbus","theeagletransport.com"
"99","ShipBob","Logistics & Transportation",34.2,3.326,450,2014,"1","IL","Chicago","Chicago","shipbob.com"
"100","Powerhome Solar","Construction",102.9,3.307,585,2015,"2","NC",NA,"Mooresville","http://powerhome.com"
"101","LendingOne","Financial Services",13.9,3.279,50,2014,"1","FL","Miami","Boca Raton","lendingone.com"
"102","OwnBackup","Software",9,3.245,86,2015,"1","NJ","New York City","Fort Lee","ownbackup.com"
"103","Invictus International Consulting","Government Services",33,3.215,151,2014,"1","VA","Washington","Alexandria","http://invictusic.com"
"104","Go Energistics","Construction",14.4,3.21,46,2011,"1","TX","Dallas","Colleyville","goenergistics.com"
"105","Total Expert","Software",11.1,3.206,180,2014,"2","MN","Minneapolis","Minneapolis","totalexpert.com"
"106","BuzzyBooth","Business Products & Services",3.5,3.201,18,2015,"1","CA","Los Angeles","Santa Monica","http://buzzybooth.com"
"107","Carolin Soldo Coaching & Events","Business Products & Services",3.9,3.179,1,2015,"1","NY",NA,"Hamburg","http://carolinsoldo.com"
"108","Cognira","Software",7.6,3.136,50,2015,"1","GA","Atlanta","Atlanta","http://cognira.com"
"109","B3 Group","Government Services",59.3,3.134,145,2008,"3","VA","Washington","Herndon","b3groupinc.com"
"110","Inspiranza Designs","Retail",4.7,3.099,10,2005,"2","IL","St. Louis","Columbia","inspiranzadesigns.com"
"111","OnesourcePCS","Government Services",7.8,3.051,52,2002,"1","FL",NA,"Pensacola","onesourcepcs.com"
"112","Cience Technologies","Advertising & Marketing",3.8,3.05,310,2015,"1","CA","San Diego","Solana Beach","http://cience.com"
"113","Austin Cryo Ventures","Health",5.1,3.031,15,2015,"1","TX","Austin","Austin","http://restorecryotherapy.com"
"114","Sweet Loren's","Food & Beverage",6.4,3.026,5,2010,"1","NY","New York City","New York","http://sweetlorens.com"
"115","Copper","Software",19,3.023,191,2013,"1","CA","San Francisco","San Francisco","http://copper.com"
"116","5 Star Roofing and Restoration","Construction",3.3,2.994,40,2015,"1","AL","Birmingham","Birmingham","5starroofer.com"
"117","DigitalCrafts","Education",3.1,2.957,30,2015,"1","GA","Atlanta","Atlanta","http://digitalcrafts.com"
"118","LoadUp Technologies","Logistics & Transportation",3.7,2.939,15,2014,"1","GA","Atlanta","Atlanta","http://goloadup.com"
"119","SkillSet Group","Human Resources",23.6,2.911,740,2013,"2","CA","Los Angeles","Santa Ana","skillsetgroup.com"
"120","Ally Logistics","Logistics & Transportation",25.8,2.872,37,2012,"1","MI",NA,"Grand Rapids","allylogistics.com"
"121","BAMFi","Financial Services",12.3,2.861,66,2012,"1","GA","Atlanta","Atlanta","bamfi.com"
"122","Potoo","Business Products & Services",6.6,2.813,60,2014,"1","CT","Bridgeport-Stamford-Norwalk","Norwalk","potoosolutions.com"
"123","Parsons Xtreme Golf","Consumer Products & Services",79,2.805,196,2014,"1","AZ","Phoenix","Scottsdale","pxg.com"
"124","Onfleet","Logistics & Transportation",3.5,2.795,19,2012,"1","CA","San Francisco","San Francisco","http://onfleet.com"
"125","PatientPop","Health",38.8,2.782,375,2014,"1","CA","Los Angeles","Santa Monica","http://patientpop.com"
"126","Gravity IT Resources","Business Products & Services",4.7,2.774,25,2015,"1","FL","Miami","Fort Lauderdale","http://gravityitresources.com"
"127","MedLab International","Health",3.2,2.743,8,2015,"1","OH",NA,"Cortland","medlabgear.com"
"128","Equity & Help","Business Products & Services",3.2,2.729,20,2014,"1","FL","Tampa","Clearwater","equityandhelp.com"
"129","Ridgeline International","Telecommunications",30,2.729,125,2015,"1","VA","Washington","Tysons Corner","ridgelineintl.com"
"130","China Metal Solutions","Manufacturing",3.1,2.705,5,2015,"1","IL","Chicago","Chicago","chinametalsolutions.com"
"131","BlueSky Resource Solutions","Business Products & Services",6.7,2.697,98,2013,"1","GA","Atlanta","Atlanta","http://blueskyrs.com"
"132","Centauri Health Solutions","Health",84.8,2.694,941,2014,"1","AZ","Phoenix","Scottsdale","centaurihs.com"
"133","CellTrade NY","Consumer Products & Services",12.4,2.69,11,2015,"1","NY","New York City","Hicksville","celltradeny.com"
"134","Exabeam","Security",38.8,2.679,274,2013,"2","CA","San Francisco","San Mateo","exabeam.com"
"135","Kinsmen Group","Software",4,2.668,21,2015,"1","PA","Philadelphia","West Chester","kinsmengroup.com"
"136","Owens Recovery Science","Health",5.4,2.657,6,2015,"1","TX","San Antonio","San Antonio","owensrecoveryscience.com"
"137","WinIt","Consumer Products & Services",6.5,2.636,6,2014,"1","NY","New York City","New York","http://appwinit.com"
"138","Techolution","IT System Development",9.8,2.634,176,2014,"1","NY","New York City","New York","techolution.com"
"139","Solvix Solutions","Computer Hardware",20.4,2.624,10,2013,"2","NJ","Philadelphia","Marlton","http://solvixsolutions.com"
"140","LoveBug Probiotics","Consumer Products & Services",3.1,2.621,4,2015,"1","NY","New York City","New York","http://lovebugprobiotics.com"
"141","Nationwide Pharmaceutical","Government Services",7.1,2.618,12,2014,"1","TX","San Antonio","San Antonio","nationwidepharmaceutical.com"
"142","Freedom Forever","Energy",101.1,2.603,358,2013,"2","CA","Inland Empire","Temecula","http://freedomforever.com"
"143","Alpha Omega Integration","Government Services",25.1,2.596,145,2010,"2","VA","Washington","Vienna","alphaomegaintegration.com"
"144","Arsenal Strength","Business Products & Services",4.7,2.579,4,2014,"1","TN",NA,"Knoxville","http://myarsenalstrength.com"
"145","Capital Brand Group","Construction",3.5,2.564,16,2013,"1","MD","Washington","Silver Spring","http://capitalbrandgroup.com"
"146","FedWriters","Government Services",5.4,2.556,57,2010,"2","VA","Washington","Fairfax","fedwriters.com"
"147","Sethmar Transportation","Logistics & Transportation",9.2,2.54,18,1999,"1","KS","Kansas City","Overland Park","sethmar.com"
"148","Hyperion Partners","Telecommunications",18.5,2.526,36,2012,"2","NV","Las Vegas","Las Vegas","hyperionpartners.net"
"149","Arcalea","Advertising & Marketing",2.8,2.514,12,2015,"1","IL","Chicago","Chicago","arcalea.com"
"150","Haga Kommer","Financial Services",5.5,2.507,55,2006,"2","ND",NA,"Fargo","hagakommer.com"
"151","Waggl","Software",4.4,2.482,55,2014,"1","CA","San Francisco","Sausalito","waggl.com"
"152","Roman Roofing","Construction",21.8,2.482,71,2015,"1","FL",NA,"Florida","romanroofinginc.com"
"153","Akumina","Software",4.4,2.475,48,2011,"1","NH",NA,"Nashua","akumina.com"
"154","ShipMonk","Logistics & Transportation",28.4,2.47,350,2014,"2","FL","Miami","Deerfield Beach","shipmonk.com"
"155","BrillMedia.co","Advertising & Marketing",4,2.466,5,2013,"1","CA","Los Angeles","Lake Balboa","brillmedia.co"
"156","Rocket Insights","Software",13.6,2.418,58,2015,"1","MA","Boston","Boston","http://rocketinsights.com"
"157","Tridant Solutions","Government Services",3,2.416,42,2005,"2","CA","Los Angeles","Pasadena","tridantsolutions.com"
"158","ESC Choice","Human Resources",20.6,2.412,545,2009,"8","NY",NA,"Amherst","myesc.com"
"159","Nugget","Consumer Products & Services",3,2.392,15,2014,"1","NC",NA,"Hillsborough","nuggetcomfort.com"
"160","Octopi Brewing","Manufacturing",4.9,2.384,36,2014,"1","WI","Madison","Waunakee","http://octopibrewing.com"
"161","KnowBe4","Security",72.3,2.37,650,2010,"4","FL","Tampa","Clearwater","knowbe4.com"
"162","Kinect Solar","Energy",13.3,2.358,8,2015,"1","TX","Austin","Austin","http://kinectsolar.com"
"163","ComplianceQuest","Software",2.5,2.357,60,2013,"1","FL","Tampa","Tampa","compliancequest.com"
"164","DecisionPoint","IT Management",15.9,2.354,100,2011,"1","MD","Washington","Gaithersburg","decisionpointcorp.com"
"165","Bombas","Consumer Products & Services",100.8,2.345,63,2013,"2","NY","New York City","New York","bombas.com"
"166","Jonas Paul Eyewear","Consumer Products & Services",3,2.34,12,2013,"1","MI",NA,"Grand Rapids","jonaspauleyewear.com"
"167","Tamimi Pharmacy","Health",15.5,2.314,40,2013,"1","FL","Tampa","Temple Terrace","http://salhabpharmacy.com"
"168","Ad Hoc","Government Services",53.1,2.305,199,2014,"1","MD","Washington","Silver Spring","adhoc.team"
"169","Valify","Software",3.1,2.276,36,2014,"1","TX","Dallas","Frisco","getvalify.com"
"170","Sapper Consulting","Advertising & Marketing",6.4,2.274,90,2014,"2","MO","St. Louis","St. Louis","sapperconsulting.com"
"171","Privy","Advertising & Marketing",3,2.263,30,2012,"1","MA","Boston","Boston","http://privy.com"
"172","Scooch","Consumer Products & Services",5.7,2.248,8,2015,"1","IN","Indianapolis","Noblesville","scoochcase.com"
"173","Monkedia","Advertising & Marketing",17.4,2.24,48,2014,"2","TX","Dallas","Irving","monkedia.com"
"174","UPshow","Business Products & Services",2.6,2.236,30,2015,"1","IL","Chicago","Chicago","upshow.tv"
"175","CampusLogic","Software",14.2,2.234,105,2011,"3","AZ","Phoenix","Chandler","campuslogic.com"
"176","PCC Cleaning and Maintenance","Environmental Services",12,2.231,80,2015,"1","NY","New York City","Brooklyn","pcccleaning.com"
"177","Quirk Creative","Advertising & Marketing",3.3,2.205,9,2015,"1","NY","New York City","Brooklyn","findyourquirk.com"
"178","Tricopian","Consumer Products & Services",7,2.172,18,2011,"1","CA","San Diego","Poway","fuel-rod.com"
"179","Efficient Home Services of Florida","Energy",9.9,2.155,50,2011,"1","FL","Tampa","Tampa","ehsfl.com"
"180","Fitness Cubed","Manufacturing",10.3,2.142,13,2014,"1","IL","Chicago","Chicago","cubii.com"
"181","Velox Media","Advertising & Marketing",3.1,2.142,41,2007,"1","ID","Boise City-Nampa","Boise","veloxmedia.com"
"182","1Link Technology","IT Management",4.6,2.138,55,2014,"1","TN",NA,"Germantown","http://1linktechnology.com"
"183","Quadrant Resource","Software",12.8,2.123,100,2004,"2","WA","Seattle","Redmond","http://quadrantresource.com"
"184","MyHealth","Health",2.7,2.116,64,2015,"1","GA","Atlanta","Brookhaven","chartrequest.com"
"185","Velocity Global","Business Products & Services",85.8,2.112,103,2014,"2","CO","Denver","Denver","velocityglobal.com"
"186","Oseth Group","Construction",5.4,2.107,23,2015,"1","VA","Washington","Sterling","osethgroup.com"
"187","Koia","Food & Beverage",8.2,2.101,15,2013,"1","CA","Los Angeles","San Diego","drinkkoia.com"
"188","Sifted","Food & Beverage",6.9,2.099,142,2015,"1","GA","Atlanta","Atlanta","sifted.co"
"189","PRx Performance","Retail",7.2,2.098,18,2013,"2","ND",NA,"Fargo","prxperformance.com"
"190","Universal Yums","Food & Beverage",12.7,2.096,28,2014,"1","NJ","New York City","Parsippany-Troy Hills","http://universalyums.com"
"191","Bridge Brothers","Manufacturing",4.1,2.082,14,2015,"1","GA","Atlanta","Atlanta","http://bridgebrothers.com"
"192","Dynamic Systems Technology","Government Services",24.7,2.077,350,1995,"4","VA","Washington","Fairfax","http://dystech.com"
"193","Supinf Technologies","Government Services",4.5,2.077,10,2009,"1","MD","Washington","Rockville","supinf-tech.com"
"194","Davis Cargo","Logistics & Transportation",32.9,2.068,45,2014,"1","FL","Orlando","Orlando","daviscargo.com"
"195","Polaris Energy Services","Energy",2.2,2.047,10,2014,"1","CA",NA,"San Luis Obispo","polarisenergyservices.com"
"196","SetSchedule","Real Estate",3.6,2.037,62,2014,"1","CA","Los Angeles","Irvine","setschedule.com"
"197","L2 Defense","Government Services",20.8,2.037,60,2012,"3","MD","Baltimore","Middle River","l2defense.com"
"198","Motivosity","Software",3.6,2.03,18,2013,"1","UT","Provo-Orem","Orem","http://motivosity.com/index.html"
"199","Advoc8","Advertising & Marketing",14.3,2.027,30,2015,"1","DC","Washington","Washington","http://advoc8.com"
"200","Real Plans","Software",4,2.018,23,2014,"2","CA","Los Angeles","Walnut","http://realplans.com"
"201","Axiom Strategies","Advertising & Marketing",138.4,2.013,102,2005,"1","MO","Kansas City","Kansas City","axiomstrategies.com"
"202","Midway Staffing","Business Products & Services",40.5,2.007,2330,2015,"1","IL","Chicago","Berwyn","midwaystaffing.com"
"203","Perfect Part","Telecommunications",2.3,2.004,5,2013,"1","CA","Los Angeles","North Hollywood","theperfectpart.net"
"204","Silverline Home Remodeling","Construction",2.2,1.997,5,2014,"1","CA","Los Angeles","Canoga Park","silverlinebuilder.com"
"205","Maxim Zenwise Opco","Consumer Products & Services",37.5,1.987,25,2014,"1","FL","Orlando","Orlando","zenwisehealth.com"
"206","World Housing Solution","Manufacturing",5.1,1.972,29,2011,"2","FL","Orlando","Sanford","worldhousingsolution.com"
"207","City Ventures","Real Estate",113.5,1.968,250,2013,"2","NE","Omaha-Council Bluffs","Omaha","city-ventures.com"
"208","Web Presence","Advertising & Marketing",3.9,1.963,23,2014,"1","FL",NA,"Sarasota","netreputation.com"
"209","Energy Earth","Advertising & Marketing",22.3,1.953,42,2011,"1","TN",NA,"Chattanooga","energyearth.com"
"210","Empowered Electric","Construction",3.6,1.944,28,2015,"1","MO","Kansas City","North Kansas City","empoweredkc.com"
"211","Bookkeeper Business Launch","Education",4.4,1.94,8,2015,"1","WY",NA,"Cheyenne","learntobeabookkeeper.com"
"212","Noom","Health",61.1,1.938,1246,2008,"1","NY","New York City","New York City","noom.com/#"
"213","Zenith Engineers","Engineering",2.7,1.924,30,2009,"2","CA","San Francisco","Hayward","zenithengineers.com"
"214","Let's Make A Lead","Business Products & Services",4.1,1.919,14,2014,"1","FL","Miami","Miami","adopt-a-contractor.com"
"215","Momentum Solar","Energy",161.8,1.917,1160,2009,"4","NJ","New York City","South Plainfield","momentumsolar.com"
"216","Radius Networks","Software",31.5,1.915,54,2011,"2","DC","Washington","Washington","radiusnetworks.com"
"217","Fattmerchant","Financial Services",4.5,1.915,75,2014,"1","FL","Orlando","Orlando","fattmerchant.com"
"218","Infinium Group","Human Resources",3.5,1.905,8,2014,"1","CA","Inland Empire","Murrieta","infiniumhr.com"
"219","Memory.net","Computer Hardware",18.7,1.901,11,2000,"1","CA","Los Angeles","San Clemente","http://memory.net"
"220","FactoryPure","Retail",6.1,1.883,5,2013,"1","TX","San Antonio","San Antonio","factorypure.com"
"221","Untappd","Software",10,1.882,90,2010,"3","NC",NA,"Wilmington","untappd.com"
"222","MikMak","Advertising & Marketing",2.7,1.878,11,2015,"1","NY","New York City","New York","mikmak.tv"
"223","Fusion Recruiting Labs","Software",7.7,1.852,45,2015,"1","NJ","New York City","Red Bank","fusionrl.com"
"224","Office Libations","Food & Beverage",4.5,1.844,15,2014,"1","CA","San Francisco","Oakland","officelibations.com"
"225","Broker Online Exchange","Energy",8.2,1.838,25,2013,"1","NY","New York City","Suffern","brokeronlinexchange.com"
"226","ODL Services","Government Services",6.6,1.821,15,2012,"2","VA","Virginia Beach","Virginia Beach","odlservices.com"
"227","Platinum Health","Health",10.7,1.814,4,2014,"1","FL","Orlando","Orlando","http://platinumhealthllc.com"
"228","Avelead","IT System Development",7.2,1.809,40,2014,"2","GA","Atlanta","Suwanee","avelead.com"
"229","CMG-Midwest","Construction",2.6,1.802,5,2012,"1","MO","Kansas City","Cleveland","http://cmgmidwest.com"
"230","Quince Orchard Psychotherapy","Health",2.9,1.797,33,2015,"1","MD","Washington","Gaithersburg","http://qopsych.com"
"231","RedShelf","Education",46.2,1.797,79,2012,"2","IL","Chicago","Chicago","about.redshelf.com"
"232","TransAmerica Express Logistics","Logistics & Transportation",120.5,1.796,22,2015,"1","CA",NA,"Sacramento","http://transamericaexp.com"
"233","Flipcause","Software",4.7,1.792,30,2012,"1","CA","San Francisco","Oakland","flipcause.com"
"234","Simply NUC","Computer Hardware",12,1.79,44,2015,"1","TX","Austin","Round Rock","simplynuc.com"
"235","Virtual Machine Solutions","IT Management",2.3,1.79,3,2014,"1","CA","Los Angeles","Los Angeles","http://virmach.com"
"236","Gateway Genomics","Health",4.3,1.786,19,2014,"1","CA","San Diego","La Jolla","gatewaygenomics.org"
"237","Strativia","Government Services",11.1,1.781,152,2007,"1","MD","Washington","Largo","strativia.com"
"238","ClockShark","Software",3.6,1.775,25,2014,"1","CA",NA,"Chico","clockshark.com"
"239","TriFold","Manufacturing",7.3,1.766,6,2013,"1","OH","Columbus","Columbus","upcart.com"
"240","Energy Ogre","Consumer Products & Services",6.3,1.763,60,2013,"1","TX","Houston","Houston","energyogre.com"
"241","D. Ott Construction","Construction",3.3,1.759,5,2015,"1","PA","Lancaster","Lancaster","ww.dottconstruction.com"
"242","Medisuite","Health",2.1,1.738,12,2013,"1","NC","Raleigh","Cary","medisuite.com"
"243","MYTA Technologies","Human Resources",5.3,1.734,40,2014,"1","MD","Washington","Bethesda","myta.com"
"244","Deal Partners","Consumer Products & Services",26.3,1.733,21,2012,"3","FL","Miami","Doral","http://dealpartners.com"
"245","Tier4 Group","Business Products & Services",4.6,1.729,NA,2010,"1","GA","Atlanta","Atlanta","http://tier4group.com"
