"rank","name","industry","revenue","three_years_growth_percent","workers","founded","yrs_on_list","state","metro","city","url"
"3401","SimIS","Engineering",10.5,0.104,68,2007,"1","VA","Virginia Beach","Portsmouth","simisinc.com"
"3402","iTexico","IT System Development",9.8,0.104,322,2012,"4","TX","Austin","Austin","itexico.com"
"3403","Hernon Manufacturing","Manufacturing",13.2,0.104,77,1978,"1","FL","Orlando","Sanford","hernon.com"
"3404","Valiant Solutions","Government Services",22.5,0.104,121,2005,"5","NC",NA,"Henderson","valiantsolutions.com"
"3405","Jamaica Cottage Shop","Manufacturing",5.1,0.104,50,1995,"2","VT",NA,"South Londonderry","jamaicacottageshop.com"
"3406","Univista Insurance","Insurance",75.4,0.104,1114,2009,"1","FL","Miami","Miami","univistainsurance.com"
"3407","Oxford Builders","Construction",4.6,0.104,45,1996,"1","TX","Houston","Houston","oxfordbuilders.com"
"3408","Dry Pro Foundation and Crawlspace Specialists","Construction",14.6,0.104,108,1999,"1","NC","Charlotte","Charlotte","dryprosystems.com"
"3409","CNF Technologies Corporation","IT System Development",9.5,0.104,84,2005,"1","TX","San Antonio","San Antonio","cnftech.com/welcome"
"3410","Logenix International","Logistics & Transportation",49.6,0.104,85,2001,"2","VA","Washington","Fairfax","logenix.com"
"3411","AmeriChem Systems","Manufacturing",10.9,0.104,24,1991,"3","IL","Chicago","Aurora","americhemsystems.com"
"3412","Aesthetic Products","Health",5.3,0.104,17,2003,"1","GA","Atlanta","Atlanta","ayamedspa.com"
"3413","Longford & Company","Human Resources",12.6,0.104,68,2012,"2","MA","Boston","Boston","longfordco.com"
"3414","Impact Networking","Business Products & Services",114.6,0.104,551,1999,"10","IL","Chicago","Lake Forest","impactmybiz.com"
"3415","Design Management Group","Construction",2.3,0.104,6,2013,"1","LA",NA,"Metairie","dmgnola.com"
"3416","DreamGear","Consumer Products & Services",49.3,0.104,49,2002,"4","CA","Los Angeles","Torrance","http://dreamgear.com"
"3417","Branded Entertainment Network","Advertising & Marketing",70.8,0.104,153,2013,"3","CA","Los Angeles","Sherman Oaks","bengroup.com"
"3418","SoftNice","IT Management",22.7,0.104,120,2001,"11","PA","Allentown-Bethlehem-Easton","Allentown","softnice.com"
"3419","Netwrix","Software",34.8,0.104,374,2006,"8","CA","Los Angeles","Irvine","netwrix.com"
"3420","Comfort Now","Construction",4.3,0.103,23,2011,"3","CA",NA,"Visalia","comfort-now.com"
"3421","NetSearch Digital Marketing","Advertising & Marketing",5.6,0.103,33,2006,"5","VA","Richmond","Richmond","netsearchdigitalmarketing.com"
"3422","ClinLab Staffing","Human Resources",14.9,0.103,170,2002,"2","MA","Boston","Watertown","clinlabstaffing.com"
"3423","Information Technology Professionals","IT Management",9.5,0.103,56,2003,"5","WI","Madison","Madison","itprosusa.com"
"3424","Twisted X","Consumer Products & Services",72.1,0.103,37,2005,"2","TX","Dallas","Decatur","http://twistedx.com"
"3425","Southeastern Equipment & Supply","Consumer Products & Services",14.8,0.103,47,2001,"7","SC","Columbia","West Columbia","southeasternequipment.net"
"3426","ISG","Engineering",52.3,0.103,300,1973,"2","MN",NA,"Mankato","is-grp.com"
"3427","Neighborly","Consumer Products & Services",237.6,0.103,843,1981,"1","TX",NA,"Waco","getneighborly.com"
"3428","ANOVA Marine Insurance","Insurance",7.7,0.103,15,2011,"4","FL","Miami","Doral","anovamarine.com"
"3429","Engineered Solutions of GA","Construction",10,0.103,65,2006,"3","GA","Atlanta","Marietta","esogrepair.com"
"3430","Exscape Designs","Construction",7.1,0.103,82,2007,"3","OH","Cleveland","Novelty","exscapedesigns.com"
"3431","Growth Academy","Education",8.4,0.103,79,2014,"1","AZ","Phoenix","Scottsdale","growth.com"
"3432","That Agency","Advertising & Marketing",2.2,0.103,15,2004,"1","FL","Miami","West Palm Beach","http://thatagency.com"
"3433","HomeSmart International","Real Estate",9.6,0.103,109,2000,"7","AZ","Phoenix","Scottsdale","homesmart.com"
"3434","Digital Edge","Advertising & Marketing",2,0.103,13,2011,"1","FL","Jacksonville","Jacksonville","http://digitaledge.marketing"
"3435","Hunter Business Law","Business Products & Services",2.1,0.103,9,2013,"1","FL","Tampa","Tampa","hunterbusinesslaw.com"
